Compound ID,Target,Assay (Percent degradation),DOI,DC50,Dmax,Assay (DC50/Dmax),PROTAC to Target
33,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
33,BRD9,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
34,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
34,BRD9,8 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
35,BRD7,3 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
35,BRD9,6 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
36,MCL1,11/37/37/42/0 (WB),10.1021/acs.jmedchem.9b00455,,,,% MCL1 degradation in OPM2 cells after 48 h treatment at 25/100/250/500/1000 nM
37,MDM2,50/70/90 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 3/10/30 nM
38,MDM2,80/90/93 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 3/10/30 nM
39,MDM2,0/10 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 100/300 nM
40,MDM2,50/60 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 30/100 nM
41,MDM2,70/70 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 10/30 nM
42,MDM2,60/80 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 10/30 nM
43,MDM2,10/40 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 30/100 nM
44,MDM2,0/30 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 100/300 nM
45,MDM2,70/60 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 10/30 nM
46,MDM2,70/60 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 10/30 nM
47,MDM2,,10.1021/acs.jmedchem.8b00909,,,,
48,MDM2,,10.1021/acs.jmedchem.8b00909,,,,
49,MDM2,60/93/96/98 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 1/3/10/30 nM
50,MDM2,80/95/98/99 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 1/3/10/30 nM
51,MDM2,,10.1021/acs.jmedchem.8b00909,,,,
52,MDM2,60/80/70 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 3/10/30 nM
53,MDM2,60/80/80 (WB),10.1021/acs.jmedchem.8b00909,,,,% MDM2 degradation in RS4;11 cells after 2 h treatment at 3/10/30 nM
54,MDM2,,10.1021/acs.jmedchem.8b00909,,N.D.,,
55,MDM2,,10.1021/acs.jmedchem.8b00909,,N.D.,,
56,MDM2,,10.1021/acs.jmedchem.8b00909,,N.D.,,
57,ER,,10.1021/acs.jmedchem.8b01572,,N.D.,,
58,ER,,10.1021/acs.jmedchem.8b01572,,N.D.,,
59,ER,0/99.4/99.6/33 (WB),10.1021/acs.jmedchem.8b01572,,,,% ER degradation in MCF-7 cells after 4 h treatment at 1/10/100/1000 nM
60,ER,79/99.6/99.7/36 (WB),10.1021/acs.jmedchem.8b01572,,,,% ER degradation in MCF-7 cells after 4 h treatment at 1/10/100/1000 nM
61,ER,37/0/0 (WB),10.1021/acs.jmedchem.8b01572,,,,% ER degradation in MCF-7 cells after 4 h treatment at 1/10/100 nM
62,ER,10/0/8 (WB),10.1021/acs.jmedchem.8b01572,,,,% ER degradation in MCF-7 cells after 4 h treatment at 1/10/100 nM
63,ER,74/34/88 (WB),10.1021/acs.jmedchem.8b01572,,,,% ER degradation in MCF-7 cells after 4 h treatment at 1/10/100 nM
64,ER,68/92/94 (WB),10.1021/acs.jmedchem.8b01572,,,,% ER degradation in MCF-7 cells after 4 h treatment at 1/10/100 nM
115,AR,20/81/97,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
116,AR,38/80/95,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
117,AR,18/34/35,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM
118,AR,76/98/99,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
118,AR,76/>95/>99,10.1021/acs.jmedchem.9b01393,7.2/1,>95/>95,Degradation of AR in LNCaP/VCaP AR+ cells after 6 h treatment,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
119,AR,65/93/78,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM
120,AR,89/99/100,10.1021/acs.jmedchem.8b01631,0.86/0.76/10.4,>95/>95/>95,Degradation of AR in LNCaP/VCaP/22Rv1 cells after 24 h treatment,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
121,AR,76/99/100,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
122,AR,39/77/99,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
123,AR,<5/<5/<5,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM
124,AR,<5/<5/<5,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM
125,AR,43/91/96,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM
126,AR,7/20/5,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM
127,AR,2/25/20,10.1021/acs.jmedchem.8b01631,,,,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM
128,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
128,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
128,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
129,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
129,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
129,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
130,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
130,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
130,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
131,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
131,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
131,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
132,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
132,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
132,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
133,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
133,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
133,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
134,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
134,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
134,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
135,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
135,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
135,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
136,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
136,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
136,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
137,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
137,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
137,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
138,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
138,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
138,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
139,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
139,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
139,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
140,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
140,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
140,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
141,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
141,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
141,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
142,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
142,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
142,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
142,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
142,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
142,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
142,BRD2,,10.1158/0008-5472.CAN-16-2622,,,,
142,BRD3,,10.1158/0008-5472.CAN-16-2622,,,,
142,BRD4,,10.1158/0008-5472.CAN-16-2622,,,,
143,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
143,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
143,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
144,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
144,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
144,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
145,BRD3,,10.1021/acs.jmedchem.6b01816,,,,
145,BRD2,,10.1021/acs.jmedchem.6b01816,,,,
145,BRD4,,10.1021/acs.jmedchem.6b01816,,,,
146,BRD4,,10.1021/acs.jmedchem.6b01781,490/500,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
147,BRD4,,10.1021/acs.jmedchem.6b01781,>5000/130,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
148,BRD4,,10.1021/acs.jmedchem.6b01781,>5000/1260,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
149,BRD4,,10.1021/acs.jmedchem.6b01781,450/250,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
150,BRD4,,10.1021/acs.jmedchem.6b01781,200/150,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
151,BRD4,,10.1021/acs.jmedchem.6b01781,59/550,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
152,BRD4,,10.1021/acs.jmedchem.6b01781,83/470,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
153,BRD4,,10.1021/acs.jmedchem.6b01781,240/1670,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
154,BRD4,,10.1021/acs.jmedchem.6b01781,460/3660,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
155,BRD4,,10.1021/acs.jmedchem.6b01781,630/2730,,Degradation of BRD4 in NCI-H661/NCI-H838 cells after 4h treatment,
156,SIRT2,,10.1021/acs.jmedchem.6b01872,,,,
157,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
157,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
157,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
158,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
158,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
158,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
159,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
159,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
159,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
160,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
160,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
160,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
161,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
161,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
161,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
162,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
162,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
162,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
163,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
163,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
163,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
164,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
164,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
164,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
165,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
165,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
165,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
166,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
166,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
166,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
167,BRD3,,10.1021/acs.jmedchem.8b00506,,,,
167,BRD2,,10.1021/acs.jmedchem.8b00506,,,,
167,BRD4,,10.1021/acs.jmedchem.8b00506,,,,
168,PARP1,0 (WB),10.1039/c8cc07813k,,,,% PARP1 degradation in MDA-MB-231 cells after 24 h treatment at 10 μM
169,PARP1,0 (WB),10.1039/c8cc07813k,,,,% PARP1 degradation in MDA-MB-231 cells after 24 h treatment at 10 μM
170,PARP1,52 (WB),10.1039/c8cc07813k,,,,% PARP1 degradation in MDA-MB-231 cells after 24 h treatment at 10 μM
171,PARP1,0 (WB),10.1039/c8cc07813k,,,,% PARP1 degradation in MDA-MB-231 cells after 24 h treatment at 10 μM
172,PARP1,0 (WB),10.1039/c8cc07813k,,,,% PARP1 degradation in MDA-MB-231 cells after 24 h treatment at 10 μM
173,CRBN,,10.1039/c8cc09541h,,,,
174,CRBN,,10.1038/s41598-019-56177-5,367.8,85.1,Degradation of CRBN in HEK293T cells after 24h treatment,
175,CRBN,,10.1039/c8cc09541h,,,,
176,CRBN,,10.1039/c8cc09541h,1.5,,Degradation of CRBN in MM1S cells after 24h treatment,
177,CRBN,,10.1039/c8cc09541h,,,,
178,CRBN,,10.1039/c8cc09541h,,,,
179,CRBN,,10.1039/c8cc09541h,,,,
180,CRBN,,10.1039/c8cc09541h,,,,
181,p38alpha,,10.1038/s41467-018-08027-7,40.1,92.6,Degradation of p38alpha in MDA-MB-231 cells,
181,p38delta,,10.1038/s41467-018-08027-7,51.4,81.8,Degradation of p38delta in MDA-MB-231 cells,
182,p38delta,,10.1038/s41467-018-08027-7,91.7,96.7,Degradation of p38delta in MDA-MB-231 cells,
182,p38alpha,,10.1038/s41467-018-08027-7,18.8,99.4,Degradation of p38alpha in MDA-MB-231 cells,
183,p38alpha,,10.1038/s41467-018-08027-7,230,90.1,Degradation of p38alpha in MDA-MB-231 cells,
183,RIPK2,,10.1016/j.chembiol.2017.09.010,,,,
183,p38delta,,10.1016/j.chembiol.2017.09.010,,,,
183,c-Met,,10.1016/j.chembiol.2017.09.010,,,,
183,c-Met,,10.1016/j.chembiol.2017.09.009,,,,
183,p38delta,,10.1038/s41467-018-08027-7,456,54.3,Degradation of p38delta in MDA-MB-231 cells,
183,p38alpha,,10.1016/j.chembiol.2017.09.010,210,91,Degradation of p38alpha in MDA-MB-231 cells after 24 h treatment,
184,p38alpha,,10.1038/s41467-018-08027-7,9.5,99.6,Degradation of p38alpha in MDA-MB-231 cells,
184,p38delta,,10.1038/s41467-018-08027-7,1160,25.1,Degradation of p38delta in MDA-MB-231 cells,
185,p38alpha,,10.1038/s41467-018-08027-7,45.9,34.5,Degradation of p38alpha in MDA-MB-231 cells,
185,p38delta,,10.1038/s41467-018-08027-7,79.2,98.4,Degradation of p38delta in MDA-MB-231 cells,
186,p38delta,,10.1038/s41467-018-08027-7,106,43.5,Degradation of p38delta in MDA-MB-231 cells,
186,p38alpha,,10.1038/s41467-018-08027-7,127,25.3,Degradation of p38alpha in MDA-MB-231 cells,
187,p38alpha,,10.1038/s41467-018-08027-7,760,16.8,Degradation of p38alpha in MDA-MB-231 cells,
187,p38delta,,10.1038/s41467-018-08027-7,1890,78.7,Degradation of p38delta in MDA-MB-231 cells,
188,p38alpha,,10.1038/s41467-018-08027-7,304,19.9,Degradation of p38alpha in MDA-MB-231 cells,
188,p38delta,,10.1038/s41467-018-08027-7,1140,33.5,Degradation of p38delta in MDA-MB-231 cells,
189,CDK6,,10.1021/acs.jmedchem.9b00871,,,,
189,CDK4,,10.1021/acs.jmedchem.9b00871,,,,
190,CDK6,,10.1016/j.bmcl.2019.03.035,,,,
191,CDK6,,10.1016/j.bmcl.2019.03.035,,,,
192,CDK6,,10.1016/j.bmcl.2019.03.035,,,,
193,CDK6,,10.1016/j.bmcl.2019.03.035,,,,
194,BRD2,,10.1021/acs.orglett.9b01326,<0.5,,Degradation of BRD2,
194,BRD3,,10.1021/acs.orglett.9b01326,<0.5,,Degradation of BRD3,
194,BRD4,,10.1021/acs.orglett.9b01326,<0.5,,Degradation of BRD4,
195,ERRalpha,28/50,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 30/100 nM
196,ERRalpha,58/85,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 30/100 nM
197,ERRalpha,39/83/96,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 10/30/100 nM
198,ERRalpha,58/78,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 30/100 nM
199,ERRalpha,23/71,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 30/100 nM
200,ERRalpha,3/9,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 30/100 nM
201,ERRalpha,79/92,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 30/100 nM
202,ERRalpha,25/63/89,10.1021/acsmedchemlett.9b00025,,,,% ERRalpha degradation in MDA-MB-231 cells after 4 h treatment at 10/30/100 nM
